Name,ID,count_win,count_total,winRate
A Forgotten Name,76166da7-d9aa-4c68-9a78-64914ec49f81,25,32,0.78125
Abandoned Antumbra,81958958-6481-4847-afe1-cb651a041f6c,51,66,0.7727272727272727
Abandoned Stave,cb74adcf-b463-4424-a519-d1098ecd5373,94,120,0.7833333333333333
Advanced Prototype,04397cf6-0fdd-4ae6-aa53-1e60d3ca7e46,147,153,0.9607843137254902
Ashes of the Fallen,9e0deb69-6196-44a6-8220-85bd0df25f77,151,167,0.9041916167664671
Base Charge,a528a1b2-0d14-4fc5-9b8f-4b1f23722422,47,48,0.9791666666666666
Blank Pages,6bb39014-9b03-4620-b088-f618a7e680b7,7,7,1.0
Blood for Blood,d8142858-f12d-4fd6-9995-02f0d12d0b12,37,43,0.8604651162790697
Bog Slime,217d553b-cddf-4a8c-a4c9-cfdb3c99389c,87,88,0.9886363636363636
Boon of the Blacksmith,b6bae748-ab1a-4bfe-9ef8-4e5f7d43afc4,155,181,0.856353591160221
Capricious Reflection,9e0e5d4e-6d16-43f1-8cd4-cc4c2b431afd,24,25,0.96
Carving Corusca,4d237444-5beb-43df-a545-c68a7ae86ba6,85,88,0.9659090909090909
Chain of Gems,eeef8380-bc30-49a5-aff0-a125599bb554,0,0,
Channelheart,0f6d3edc-d212-4e3a-877f-e9eb2ac78339,82,87,0.9425287356321839
Cleansing Water,1e972d81-fc2f-4d4a-ade9-46edeb246dbd,66,76,0.868421052631579
Collection of Tails,b7822614-96ec-4ace-9029-6efc8adef374,103,123,0.8373983739837398
Combustible Wax,dc32326b-0952-4b3b-8bc8-cec909476c5f,114,130,0.8769230769230769
Commemorative Spike,80a1b361-ee3a-43ae-86bd-da1ddac33a0a,19,26,0.7307692307692307
Concussive Coals,2fe90c61-3b6e-4290-a984-e4ef6e8f3e2d,44,62,0.7096774193548387
Conscription Notice,2b7ee5f7-cf89-40b0-ae47-c73c5c879751,71,71,1.0
Consumed Crown,4190af4b-a32f-42ab-acda-8f0d4f50c3a5,85,102,0.8333333333333334
Cracked Helmet,088a9e01-d85a-4b20-805b-a7817bcf0c08,3,3,1.0
Cursed Vines,00063533-9277-485c-b100-13637a228f9a,94,99,0.9494949494949495
Cuttlebeard,9cb2b9b2-0308-4f71-92e8-e96a30b87416,95,106,0.8962264150943396
